"Key Question","KLOE","Ref","Checklist Item"
"Safe","Safety culture","SAF-SC-01","There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
"Safe","Safety culture","SAF-SC-02","When an incident has happened, staff are open and transparent with people and those close to them. All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
"Safe","Safety culture","SAF-SC-03","Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
"Safe","Managing risks during care and treatment","SAF-MR-01","People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
"Safe","Managing risks during care and treatment","SAF-MR-02","People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance."
"Safe","Managing risks during care and treatment","SAF-MR-03","Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
"Safe","Managing risks during care and treatment","SAF-MR-04","The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
"Safe","Safe systems, pathways and transitions","SAF-SP-01","Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
"Safe","Safe systems, pathways and transitions","SAF-SP-02","Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
"Safe","Safe systems, pathways and transitions","SAF-SP-03","When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
"Safe","Safeguarding","SAF-SG-01","There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
"Safe","Safeguarding","SAF-SG-02","Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
"Safe","Safe environments and infection prevention and control","SAF-EI-01","The service manages the control and prevention of infection well. Infection prevention and control roles are clear. The risk of infection is minimised because premises and equipment are kept clean and hygienic."
"Safe","Safe environments and infection prevention and control","SAF-EI-02","Fire safety procedures are effective. Concerns are escalated appropriately where the service is not directly responsible for the premises."
"Safe","Safe staffing","SAF-ST-01","Thorough and safe recruitment practices ensure staff, including agency staff and volunteers, are suitably experienced, qualified and competent to carry out their roles."
"Safe","Safe staffing","SAF-ST-02","There are appropriate staffing levels and skill mix to meet people's needs. Individual needs are taken into consideration so that when people receive one-to-one support, the skills and experience of staff are matched to the person's needs."
"Safe","Safe staffing","EFF-TD-01","Staff and volunteers receive training that is appropriate to their role. This is embedded into practice and refreshed at regular intervals. Competency is assessed as required to maintain knowledge and skills in line with good practice."
"Safe","Safe staffing","EFF-TD-02","There are induction, supervision and appraisal processes to support staff to develop and improve services (including professional revalidation where needed)."
"Safe","Safe medicines and treatments","SAF-MM-01","There is a clear approach to the safe use of medicines, and roles and responsibilities are understood."
"Effective","Assessing needs","EFF-CP-01","People's needs are comprehensively assessed, and reflect their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
"Effective","Assessing needs","EFF-CP-02","Assessments are regularly reviewed and updated to make sure staff have current information, so that care, support and treatment is meeting people's needs and individual outcomes as expected."
"Effective","Assessing needs","EFF-CP-03","People are involved as much as possible in their needs assessment and their needs are fully identified and understood. Where people need support to be involved, this is provided."
"Effective","Evidence-based care and equitable outcomes","EFF-EB-01","There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment and the service takes action to continuously improve it."
"Effective","Evidence-based care and equitable outcomes","EFF-EB-02","Staff monitor and evaluate outcomes related to people's health and quality of life, including those linked to their aspirations and skill development, and act to improve them when possible."
"Effective","Supporting people to live healthier lives","EFF-HL-01","The service works with people who use services and professionals to plan and enable access to health and social care support to achieve good health and wellbeing outcomes. This includes facilitating reasonable adjustments, supporting people to access health checks or to complete healthcare passports."
"Effective","Supporting people to live healthier lives","EFF-HL-02","Risks to people's health and wellbeing are identified and support to prevent deterioration is prioritised. This includes understanding specific risks for a person due to their needs and specific health conditions, keeping well in hot and cold weather and supporting people to remain as active and mobile as possible."
"Effective","Supporting people to live healthier lives","EFF-HL-03","People are encouraged and supported to make healthier choices relating to diet, lifestyle, physical activity, personal and oral hygiene."
"Effective","Supporting people to live healthier lives","EFF-HL-04","People are supported to be as involved as possible in monitoring and reviewing their own physical and mental health and wellbeing needs. This includes taking part in regular reviews with the service and, where appropriate, being supported to engage in health checks with other health and social care professionals."
"Effective","Consent to care and treatment","EFF-CT-01","Staff know the importance of consent and relevant legal requirements. They make sure people understand what they are consenting to before they deliver care, support or treatment. People are given the appropriate information, support and time they need to make an informed decision."
"Caring","Kindness, compassion and dignity","CAR-KD-01","There is a culture of kindness and respect across teams. People feel cared for with kindness, compassion, dignity and respect."
"Caring","Kindness, compassion and dignity","CAR-KD-02","People's privacy, confidentiality, and respect are consistently upheld. Staff are discreet and challenge behaviour and practices that fall short of this. Staff have a clear understanding of the boundaries of confidentiality and work within these."
