Key Question,KLOE,Ref,Checklist Item
Safe,Safety culture,SAF-SC-01,"All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
Safe,Safety culture,SAF-SC-02,"There is a good understanding of the duty of candour. When an incident has happened, staff are open and transparent with people and those close to them."
Safe,Safety culture,SAF-SC-03,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Safe,Safety culture,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
Safe,Safety culture,SAF-SC-05,"The service looks for safety-related themes and trends. Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Safe,Safety culture,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse. There are systems and processes in place to identify concerns and prevent closed cultures from developing, and appropriate action is taken when needed."
Safe,Managing risks during care and treatment,SAF-MR-01,"People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
Safe,Managing risks during care and treatment,SAF-MR-02,"People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance."
Safe,Managing risks during care and treatment,SAF-MR-03,"Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
Safe,Managing risks during care and treatment,SAF-MR-04,"The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
Safe,Managing risks during care and treatment,SAF-MR-05,"Restraint is only ever used as a last resort and there is a clear commitment from all staff to minimising the use of restrictive interventions in the service. If staff use restraint, it is lawful, for a legitimate purpose, safe and necessary, and staff follow good practice."
Safe,Safe systems pathways and transitions,SAF-SP-01,"Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
Safe,Safe systems pathways and transitions,SAF-SP-02,"Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
Safe,Safe systems pathways and transitions,SAF-SP-03,"Staff work together proactively with teams in other services, commissioners and people using the service to deliver co-ordinated, timely, consistent and person-centred care, support and treatment. Actions are appropriately owned and followed up."
Safe,Safe systems pathways and transitions,SAF-SP-04,"When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
Safe,Safe systems pathways and transitions,SAF-SP-05,"The service has appropriate systems and processes to manage its responsibilities in relation to delegated healthcare activities safely, in line with good practice."
Safe,Safeguarding,SAF-SG-01,"There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
Safe,Safeguarding,SAF-SG-02,"Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
